Number,Name,Protocols,TVL
REIchain,1,$5 355
Darwinia,1,$5 088
OntologyEVM,4,$5 083
Manta Atlantic,1,$4 564
Sifchain,1,$4 367
Callisto,1,$3 865
Bitcichain,1,$3 301
Ham,1,$2 929
SX Network,1,$2 011
Milkomeda A1,3,$1 146
Palm,2,$554
Concordium,1,$545
Tenet,2,$186
Aeternity,1,$134
Aleph Zero EVM,1,$70
Boba_Bnb,3,$15
Xphere,1,$5
Waterfall,1,$4
Plume (Deprecated),10,$0
Milkyway,1,$0
Pryzm,1,$0
MilkyWay Rollup,1,$0
BandChain,1,$0
Quicksilver,1,$0
Pokt,1,$0
Grove,1,$0
Polkadot,2,$0
Sommelier,1,$0
exSat,4,$0
Kopi,1,$0
Bitgert,12,$0
Flame,1,$0
re.al,12,$0
Kusama,1,$0
Dexit,3,$0
Goerli,1,$0
Stride,2,$0
Fusion,3,$0
Stafi,1,$0
Boba_Avax,1,$0
Empire,1,$0
Artela,3,$0
Echelon,5,$0
OXFUN,1,$0
Hoo,4,$0
Mind Network,1,$0
Perennial,1,$0
CLV,6,$0
DSC,1,$0
Nova Network,2,$0
CMP,1,$0
Cube,3,$0
Genshiro,1,$0
Lamden,1,$0
HPB,1,$0
Polis,1,$0
ZYX,1,$0
Ubiq,1,$0
Heiko,5,$0
Parallel,5,$0
Syscoin,5,$0
Kekchain,3,$0
MUUCHAIN,1,$0
Tlchain,1,$0
Zeniq,1,$0
Bitindi,2,$0
Lung,1,$0
Bone,1,$0
ETHF,1,$0
MEER,2,$0
Bitnet,1,$0
Bitrock,4,$0
Celestia,5,-$300 361
ZKsync Lite,12,-$370 642
CosmosHub,11,"-$1,78m"
